Time_Index,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3,Price_mmbtu_z4,Price_mmbtu_z5,Price_mmbtu_z6,Price_mmbtu_z7,Price_mmbtu_z8,Price_mmbtu_z9
173,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
174,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
175,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
176,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
177,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
178,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
179,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
180,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
181,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
182,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
183,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
184,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
185,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
186,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
187,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
188,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
189,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
190,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
191,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
192,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
193,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
194,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
195,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
196,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
197,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
198,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
199,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
200,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
201,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
202,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
203,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
204,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
205,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
206,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
207,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
208,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
