Time_Index,None,CA_reference_naturalgas,Biomass,CEN_reference_naturalgas,CEN_reference_uranium,MID_AT_reference_naturalgas,MID_AT_reference_uranium,NE_reference_naturalgas,NE_reference_uranium,NW_reference_naturalgas,NW_reference_uranium,N_CEN_reference_naturalgas,N_CEN_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,SW_reference_naturalgas,SW_reference_uranium,TX_reference_naturalgas,TX_reference_uranium,CA_reference_uranium
4360,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4361,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4362,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4363,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4364,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4365,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4366,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4367,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4368,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4369,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4370,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4371,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4372,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4373,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4374,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4375,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4376,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4377,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4378,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4379,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4380,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4381,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4382,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4383,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4384,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4385,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4386,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4387,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4388,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4389,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4390,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4391,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4392,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4393,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4394,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4395,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4396,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4397,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4398,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4399,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4400,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4401,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4402,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4403,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4404,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4405,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4406,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4407,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4408,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4409,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4410,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4411,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4412,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4413,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4414,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4415,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4416,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4417,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4418,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4419,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4420,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4421,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4422,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4423,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4424,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4425,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4426,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4427,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4428,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4429,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4430,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4431,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4432,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4433,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4434,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4435,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4436,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4437,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4438,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4439,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4440,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4441,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4442,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4443,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4444,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4445,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4446,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4447,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4448,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4449,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4450,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4451,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4452,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4453,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4454,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4455,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4456,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4457,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4458,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4459,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4460,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4461,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4462,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4463,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4464,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4465,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4466,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4467,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4468,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4469,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4470,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4471,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4472,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4473,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4474,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4475,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4476,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4477,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4478,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4479,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4480,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4481,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4482,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4483,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4484,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4485,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4486,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4487,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4488,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4489,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4490,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4491,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4492,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4493,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4494,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4495,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4496,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4497,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4498,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4499,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4500,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4501,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4502,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4503,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4504,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4505,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4506,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4507,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4508,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4509,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4510,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4511,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4512,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4513,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4514,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4515,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4516,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4517,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4518,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4519,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4520,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4521,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4522,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4523,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4524,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4525,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4526,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4527,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4528,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4529,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4530,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4531,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4532,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4533,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
