ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,230,46647,35541,37797,55800,147384,61620,81008,99937,71160
,231,46647,35541,37797,55800,147384,61620,81008,99937,71160
,232,46647,35541,37797,55800,147384,61620,81008,99937,71160
,233,46647,35541,37797,55800,147384,61620,81008,99937,71160
,234,46647,35541,37797,55800,147384,61620,81008,99937,71160
,235,46647,35541,37797,55800,147384,61620,81008,99937,71160
,236,46647,35541,37797,55800,147384,61620,81008,99937,71160
,237,46647,35541,37797,55800,147384,61620,81008,99937,71160
,238,46647,35541,37797,55800,147384,61620,81008,99937,71160
,239,46647,35541,37797,55800,147384,61620,81008,99937,71160
,240,46647,35541,37797,55800,147384,61620,81008,99937,71160
,241,46647,35541,37797,55800,147384,61620,81008,99937,71160
,242,46647,35541,37797,55800,147384,61620,81008,99937,71160
,243,46647,35541,37797,55800,147384,61620,81008,99937,71160
,244,46647,35541,37797,55800,147384,61620,81008,99937,71160
,245,46647,35541,37797,55800,147384,61620,81008,99937,71160
,246,46647,35541,37797,55800,147384,61620,81008,99937,71160
,247,46647,35541,37797,55800,147384,61620,81008,99937,71160
,248,46647,35541,37797,55800,147384,61620,81008,99937,71160
,249,46647,35541,37797,55800,147384,61620,81008,99937,71160
,250,46647,35541,37797,55800,147384,61620,81008,99937,71160
,251,46647,35541,37797,55800,147384,61620,81008,99937,71160
,252,46647,35541,37797,55800,147384,61620,81008,99937,71160
,253,46647,35541,37797,55800,147384,61620,81008,99937,71160
,254,46647,35541,37797,55800,147384,61620,81008,99937,71160
,255,46647,35541,37797,55800,147384,61620,81008,99937,71160
,256,46647,35541,37797,55800,147384,61620,81008,99937,71160
,257,46647,35541,37797,55800,147384,61620,81008,99937,71160
,258,46647,35541,37797,55800,147384,61620,81008,99937,71160
,259,46647,35541,37797,55800,147384,61620,81008,99937,71160
,260,46647,35541,37797,55800,147384,61620,81008,99937,71160
,261,46647,35541,37797,55800,147384,61620,81008,99937,71160
,262,46647,35541,37797,55800,147384,61620,81008,99937,71160
,263,46647,35541,37797,55800,147384,61620,81008,99937,71160
,264,46647,35541,37797,55800,147384,61620,81008,99937,71160
,265,46647,35541,37797,55800,147384,61620,81008,99937,71160
,266,46647,35541,37797,55800,147384,61620,81008,99937,71160
