Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
,,,,,,,170,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,171,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,172,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,173,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,174,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,175,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,176,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,177,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,178,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,179,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,180,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,181,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,182,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,183,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,184,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,185,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,186,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,187,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,188,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,189,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,190,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,191,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,192,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,193,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,194,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,195,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,196,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,197,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,198,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,199,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,200,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,201,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,202,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,203,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,204,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,205,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,206,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,207,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,208,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,209,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,210,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,211,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,212,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,213,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,214,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,215,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
