Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9
,,,,,,,,323,36177,38360,42838,66542,88468,82426,164166,111184,38992
,,,,,,,,324,37868,39891,42718,63493,87803,79548,155834,109763,39103
,,,,,,,,325,38859,40655,42179,60073,86222,76407,147974,107703,38780
,,,,,,,,326,39196,40635,41323,56775,84492,73283,140994,105648,38402
,,,,,,,,327,38830,40053,40168,54176,83215,70754,135800,104047,38089
,,,,,,,,328,38194,39247,39312,52247,82724,68533,133152,103834,38344
,,,,,,,,329,37806,38575,38856,51517,83673,68372,134375,106484,40362
,,,,,,,,330,37452,38111,38885,51495,87019,69268,141511,112938,43566
,,,,,,,,331,37503,38497,39787,53546,91447,73600,154186,116186,43821
,,,,,,,,332,38051,39862,42274,57449,90767,77123,156129,115067,42702
,,,,,,,,333,41739,41313,43796,57846,89193,77410,156019,113343,41196
,,,,,,,,334,42959,40997,43482,58095,87347,77635,153959,110872,39682
,,,,,,,,335,42184,40130,42794,57743,84286,76834,149829,106610,37760
,,,,,,,,336,41314,39126,41753,56055,80508,74506,143901,101661,35487
,,,,,,,,337,39619,37373,40020,54325,77213,72280,138950,97448,33513
,,,,,,,,338,37325,35267,38227,53318,75150,70926,136884,95151,32329
,,,,,,,,339,34773,33413,36602,52748,73704,70177,136300,93686,31634
,,,,,,,,340,32863,32260,35611,52847,73310,70331,137452,93496,31454
,,,,,,,,341,31605,31719,35066,53333,73401,70521,139773,94237,31650
,,,,,,,,342,30824,31535,34853,54291,74238,71703,144226,96328,32350
,,,,,,,,343,30549,31760,35101,56013,76325,73598,151024,99735,33727
,,,,,,,,344,30627,32419,35826,58460,79053,76367,159359,103599,35132
,,,,,,,,345,31438,33818,37048,60429,81073,78787,164929,106309,37096
,,,,,,,,346,32886,35811,38088,61591,82208,79653,160076,107281,38724
,,,,,,,,347,33931,37884,39005,60471,82083,77293,150320,106491,39750
,,,,,,,,348,35593,39562,39699,58066,81310,73887,141251,105060,40206
,,,,,,,,349,36784,40218,39925,55620,80492,70859,134723,103797,40310
,,,,,,,,350,37133,40155,39821,54029,79727,68861,129585,102070,40087
