Resource,Liquid_DAC_1,Liquid_DAC_2,Liquid_DAC_3,Liquid_DAC_4,Liquid_DAC_5,Liquid_DAC_6,Liquid_DAC_7,Liquid_DAC_8,Liquid_DAC_9,Liquid_DAC_10,Solid_DAC_1,Solid_DAC_2,Solid_DAC_3,Solid_DAC_4,Solid_DAC_5,Solid_DAC_6,Solid_DAC_7,Solid_DAC_8,Solid_DAC_9,Solid_DAC_10
t209,0.0006670063501222113,0.0006533643368920893,0.0006347286717415892,0.0006387850617823722,0.0006595385723175358,0.0003536043493703564,0.0006537884379391457,0.0006350474609362562,0.0006849554906286362,0.000545238857078556,1.1762373058779587,160.14803403218585,0.0124449001179639,0.06832714968751606,35.15598637238087,2.2656881236310773,217.60208041695623,196.6315916782453,0.0397994906456564,15.310334939683422
t210,0.0006669581601829226,0.0006539251624768388,0.000634896849267699,0.0006388167405628018,0.0006614028801444646,0.0003468719923621094,0.0006609026516322889,0.0006349007299015415,0.0006850604871368568,0.0005453012837162059,1.176237180309848,160.1480340939274,0.012445160726601975,0.06832707502763471,35.155987032906836,2.2656841260740035,217.6020854160332,196.6315917907044,0.03979937049483217,15.310335154461624
t211,0.0006680966684640551,0.0006549786800812992,0.0006359592871696527,0.0006393910797381265,0.0006628764430162632,0.00034750362352047634,0.0006690672086602653,0.0006356674796366994,0.000685611860535288,0.0005458956827314104,1.1762379069168882,160.14803471032627,0.012445594189192158,0.06832755967837341,35.15598802054558,2.2656844728497862,217.6020932752747,196.6315919560536,0.03980015633325317,15.310336603964567
t212,0.000666797385754026,0.0006536354828773442,0.000634644961441146,0.0006382399422960303,0.0006602417857017441,0.00034574817234870676,0.000675971876346018,0.0006344223109833231,0.0006849825758276964,0.0005451535689443094,1.1762369632022365,160.1480335319369,0.012444710192954334,0.06832657760691849,35.15598650510962,2.2656818638455296,217.6020992874543,196.6315912346297,0.03979939486565829,15.31033586372901
t213,0.000667062979865346,0.0006538618201532123,0.0006351334307910198,0.0006390595605626504,0.00065920264638444,0.0003515545879905792,0.0006648205994260616,0.0006356499900820374,0.0006853584144960713,0.0005453339113967977,1.1762375876850406,160.14803408454975,0.012445406789927532,0.06832745994902073,35.15598638297057,2.2656877650287575,217.60208949625522,196.6315920140955,0.03980001662614046,15.310336350970589
t214,0.0006668075537824503,0.0006539180249972612,0.0006351723212765567,0.000639260722035256,0.0006602776430481552,0.00035323403049333264,0.0006531700699221794,0.0006355524148495955,0.0006856300406541042,0.0005456179599550062,1.1762378419263158,160.1480342404752,0.012445809418005263,0.06832787709782578,35.15598728162725,2.265687845408997,217.6020801286197,196.63159242434438,0.03980046940094963,15.310336607815263
t215,0.0006654413406791343,0.000652203412113342,0.0006338178029080748,0.0006379967295750676,0.0006591811304801575,0.00035446423615963625,0.0006482715244540601,0.000633861618034561,0.0006845239633281971,0.0005444666381292949,1.1762364807873529,160.14803258824307,0.012444573964726563,0.06832654948109367,35.155985846250346,2.2656877949802863,217.60207671746073,196.63159121931312,0.039799115045762994,15.31033503141885
t216,0.0006682038571161712,0.0006534992161931406,0.0006355621774950448,0.0006395079706740266,0.000663039253991476,0.000356257248651645,0.0006496167458603883,0.0006375985142828394,0.0006857027406992306,0.0005457678179688564,1.176238427061901,160.14803337580716,0.01244555135589395,0.06832787713642041,35.155988519948515,2.2656880928172023,217.60207868304792,196.631592980492,0.03980054175522349,15.310336465220193
t217,0.000668921289967163,0.0006534344462593297,0.0006359279013733484,0.0006396887945647957,0.0006642954793325477,0.0003552006054287644,0.0006506966903914731,0.000638432089199313,0.0006858843124358667,0.0005461302637841834,1.176238819096424,160.14803311827586,0.012445802806480236,0.06832804516092425,35.155989057776,2.2656880089146916,217.60207968106488,196.63159340709595,0.03980049766670103,15.310336121191407
t218,0.0006695265685504959,0.0006534679093884591,0.0006358502459085968,0.0006396866369023744,0.0006648394805560375,0.0003545643570333233,0.000651097090920363,0.0006388943734732108,0.0006859066455291653,0.0005463060736647687,1.1762391480452796,160.14803289029427,0.012445906127101513,0.06832807954733405,35.15598930794136,2.265687929105311,217.60208003722482,196.63159369679883,0.039800362270963216,15.310335795818753
