Resource,CAPTURE_COMP_1,CAPTURE_COMP_2,CAPTURE_COMP_3,CAPTURE_COMP_4,CAPTURE_COMP_5,CAPTURE_COMP_6,CAPTURE_COMP_7,CAPTURE_COMP_8,CAPTURE_COMP_9,CAPTURE_COMP_10
t11,1.1766012001199246,160.14854880409973,0.012980320686138929,0.0688714901544173,35.156289222232054,0.4532991857880294,43.5207509610628,196.63197521309576,0.04049492734779173,15.310849020428867
t12,1.176606610721287,160.14855167069672,0.01298067817998401,0.06887312514154581,35.156292573075305,0.4532983974985238,43.52075564159984,196.63197240191707,0.04049463692865135,15.310859301138635
t13,1.1766012943955304,160.1485512620752,0.012980010451572757,0.06887236854193511,35.15628695166656,0.4532732764550903,43.52074525925641,196.631969036917,0.04049392989406665,15.310858960162319
t14,1.176596435784784,160.14854825197628,0.012978256034910422,0.0688697783156511,35.156281405336365,0.45332233663318183,43.52085247045425,196.63196495383716,0.04049131298350248,15.310856485487058
t15,1.1765850108789824,160.1485476972801,0.012977726246839379,0.06886806889678279,35.15626699409009,0.4534119464184307,43.520956942661826,196.63195761825628,0.040487220326466906,15.310853782717862
t16,1.1766593300171913,160.14863641626724,0.013032931830293304,0.06892540947515606,35.15636589291618,0.4534391252167409,43.52092552995467,196.63195758604735,0.04049093875993192,15.310876044000986
t17,1.1765930792541301,160.1485512361641,0.012983252773229821,0.06887481394378418,35.156287474561054,0.4533332052178348,43.52093960964147,196.6319604014763,0.04049435138041756,15.310849853077155
t18,1.1764744003414411,160.14849463294397,0.012948505882164186,0.0688402084012716,35.15614734798466,0.453230462458999,43.520518282390434,196.63196341294588,0.04049539748426398,15.310835616019022
t19,1.1765963054807658,160.14854248869264,0.012981919314820707,0.06887005069478862,35.15629359456256,0.45324892954971585,43.52047255394969,196.6319511571438,0.040490590322893615,15.31084753252783
t20,1.1766691617553875,160.1485504414681,0.013076131288073544,0.06888370629595368,35.156363609350784,0.4532168783810669,43.52048767992074,196.63194282491708,0.04048939968989599,15.310889634930836
t21,1.176715338136757,160.14855864735685,0.013081159064426973,0.0689527659199361,35.15641468544349,0.47799787844623076,112.20420431767684,196.63193851430697,0.04048741684784654,15.310885635147448
t22,1.1767155148869908,160.14855991118029,0.013080347285228121,0.06894823492444122,35.156419318084986,1.6104221223543917,217.60205940072944,196.63193798181203,0.04048597029142142,15.310883709019153
