,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t47,10271.627742647963,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9488.412678414625,2887.2937316600587,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2710.5893479184438,1359.9295809776188,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1293.5915762952195
t48,9281.696992502148,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8498.48192826881,2603.5174137314116,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2426.813029989797,1433.0577060588785,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1158.0324265453548
t49,8620.692277171236,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7837.477212937898,2415.3842251787164,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2238.679841437102,1135.0485108499365,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1068.7105061675372
t50,8245.527438740177,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7462.31237450684,2308.1798384056724,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2131.4754546640575,1292.2443256985541,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1017.2190461850304
t51,8042.707231969326,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7259.492167735988,2250.3735514202076,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2073.6691676785927,1056.2350516930385,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-989.8970470106391
t52,7977.552554146565,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7194.337489913227,2231.455130224964,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2054.7507464833493,1256.515557547427,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-981.4902780339033
t53,8120.472492596492,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7337.257428363154,2272.445042814658,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2095.740659073043,1066.7435129139583,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1000.4055082315589
t54,8684.796073093628,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7901.581008860291,2434.3026463739598,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2257.598262632345,1352.1425546577966,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1077.117275144273
t55,9844.969691098917,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9061.754626865579,2765.3750172907144,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2588.6706335490994,1195.7056068974744,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1235.7950395801608
t56,10930.53069417814,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10147.315629944802,3075.426920212754,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2898.7225364711394,1415.687746788516,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1383.9643427951291
t57,11442.310179656923,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10659.095115423585,3221.5191727760202,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3044.8147890344057,1525.993857080336,0,-6.335665544737424,0,0,-0.0,0.0,0.0,0.0,-0.0,-1453.3201868531994
t58,11734.45534795898,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10951.240283725641,3304.550021355143,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3127.845637613528,1559.5903441750938,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1493.2523394926945
t59,11960.394956537908,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11177.17989230457,3368.6624487390227,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3191.9580649974077,1430.2597819358907,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1523.7268770333617
t60,12061.279618973153,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11278.064554739813,3398.0911039316225,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3221.386720190008,1603.7258813029566,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1537.3878766205573
t61,12046.56727236801,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11263.352208134673,3393.88701033268,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3217.182626591065,1412.0717116037597,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1535.2861843763735
t62,12069.686674176088,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11286.47160994275,3400.193150731094,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3223.4887669894797,1604.7767274250486,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1538.4387227426494
t63,11984.565240246353,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11201.350176013013,3376.019612537172,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3199.3152287955577,1386.3209613944407,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1526.8794153996375
t64,11899.443806316614,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11116.228742083276,3351.846074343251,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3175.141690601636,1581.6581127390255,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1515.320108056626
t65,11921.512326224325,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11138.297261990987,3358.1522147416654,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3181.4478310000504,1584.810651105301,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1518.4726464229018
