,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption
t57,0.00039189481554882644,0.0003980358665951208,0.0002335682429697939,0.0002646686728468789,0.0005244177991592784,0.0005937474253392169,0.0004756760479501908,0.00033156622632603445,0.0038291536735853447,0.00026072432388244603
t58,0.00040043512453741097,0.00040013296056525384,0.00026553179817211456,0.00031022604276573283,0.0005119214335733634,0.0005414795520173872,0.0003929122090188579,0.00034510104672594744,0.0038298905586569595,0.00029595540287022094
t59,0.0003802157144315656,0.00037529006690538105,0.0002321427731851292,0.0002782739098648106,0.00047916311653912796,0.0005803522784171018,0.00038820192039265675,0.00035216586290102075,0.0038240250946447564,0.00025992057721400524
t60,0.0003970839814566964,0.0003969662164563666,0.0003160898444273958,0.00030439994796295695,0.000507033697859802,0.0005604348432187342,0.00038231690177700144,0.0003345952823863703,0.0038163114865709404,0.00035575211509028575
t61,0.0004044744674705352,0.0004033807568385849,0.00030653982301375517,0.0002960612838582004,0.0005146173634404959,0.0005569832507077353,0.00038255855368826745,0.00034259101146252705,0.003825422322864983,0.0003395253306588488
t62,0.000395503917534395,0.000386522125835212,0.0003937000021788561,0.00038220313744300306,0.0005036168044980141,0.0005424018230329172,0.00037380667614653093,0.00033285401639661675,0.003810995165143392,0.00043223425928228876
t63,0.0004214178661024006,0.0003859011246454228,0.0003902738850801238,0.0003807442233446324,0.0005039161601741289,0.0005441556720322341,0.00037547909638566563,0.0003277429893033403,0.0037936746532728593,0.00042941735754868643
t64,0.0003943358387561086,0.0003837062157914477,0.00043629241008246453,0.00042020148348732454,0.0005008463716179852,0.0005479740855507001,0.0003834291814048938,0.00030734854494994724,0.0037775953645257376,0.00047173176949980424
t65,0.00043979262015447605,0.00040964782120889935,0.00023922165840671139,0.00029017786903891876,0.000523762253916255,0.0005710267236373491,0.00039694348494846997,0.000345662335879294,0.003761177895165385,0.0002601388295164825
t66,0.00038282387129107755,0.0003277027666195165,0.00011440626221146045,0.00022693320169627263,0.0003776300894745792,0.0006071519186003707,0.0004488224817481449,0.0003633004215736703,0.003779369108796728,0.00012167921013861537
t67,0.00039092450760836627,0.00041782261362533797,0.0002468278723244664,0.00030683538331275235,0.0005270152665967304,0.0005847227703858717,0.0004168222558189887,0.0003322047192526602,0.0037714712759752893,0.0002644523933507428
t68,0.00040930994489056174,0.0004010877728475277,0.00032605560390760796,0.00031251157490554875,0.000522506445507494,0.0005686173820307306,0.00039748361589826453,0.00030511955502899305,0.0037662241118681526,0.00035326634891772607
t69,0.0003918717931479885,0.00040002187416042165,0.0004874544652253077,0.0004864621581708679,0.0005397494097535254,0.0005328348589297734,0.0003620953456535919,0.00029680690094914373,0.0037621071204956046,0.0005382405351928597
t70,0.0004170958379241258,0.0004185554273214675,0.0005102502290092356,0.0005126823561963819,0.0005702231634273907,0.0005165100659732786,0.00040851915357325436,0.0003119559248765275,0.0037482204788574776,0.0005680816397229101
t71,0.0003731251911606324,0.000419671470385869,0.0028145780497108434,0.0005187398935096885,0.0005432968067170966,0.0004604462147273792,0.0004024407930744455,0.00028017980323213296,0.0037855887650942535,0.0032821392987026684
t72,0.00038041169297056715,0.00041386310663296525,0.002727898870354527,0.0005141801694994629,0.0005206103188854814,0.00042623000308615263,0.0005487368781462449,0.0002708348272799094,0.0037711183269287926,0.0032539918642554783
t73,0.00034151138994204574,0.00035423482477441373,0.0029436737889781835,0.00043850151808798977,0.0004667036528207345,0.001660707278482882,0.005057066742980365,0.00024861301206183207,0.0036424276074346873,0.0030669219927856365
t74,0.00037360061831421014,0.0003732305901783663,0.0030195897517598536,0.0004680529277731605,0.0005235867459373087,0.0005228036978311401,0.005035647200296822,0.0002731344279657744,0.003654009552173856,0.0030817311976655123
t75,0.00043301075951330143,0.00042032327046191063,0.002963210457143829,0.0005303332032932304,0.0005848248412797682,0.00045175417116343316,0.005005646337593938,0.00031967525189606754,0.0036364776917046115,0.0030588327173646664
