Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
,,,,,,,306,1055.7778,6211.4074,2339.172
,,,,,,,307,877.3864000000001,5161.5366,1943.7968
,,,,,,,308,682.0616000000001,4013.2158,1511.4044000000001
,,,,,,,309,520.6036,3062.1888000000004,1153.0464000000002
,,,,,,,310,406.40160000000003,2390.3660000000004,900.2268
,,,,,,,311,283.536,1668.9244,628.5048
,,,,,,,312,183.51080000000002,1079.4058,406.40160000000003
,,,,,,,313,113.4144,667.8848,251.6382
,,,,,,,314,146.09980000000002,859.2716,323.70360000000005
,,,,,,,315,53.55680000000001,314.6462,118.5338
,,,,,,,316,83.4856,491.46240000000006,185.086
,,,,,,,317,155.94480000000001,917.9478,345.7564
,,,,,,,318,255.97000000000003,1506.285,567.072
,,,,,,,319,391.0434,2300.5796,866.36
,,,,,,,320,553.6828,3256.726,1226.6870000000001
,,,,,,,321,723.4106,4256.978,1603.1598000000001
,,,,,,,322,930.9432,5478.151800000001,2063.1182000000003
,,,,,,,323,1063.6538,6257.875800000001,2356.4992
,,,,,,,324,1090.826,6419.727600000001,2417.5382
,,,,,,,325,1086.1004,6390.192600000001,2406.5118
,,,,,,,326,1053.415,6198.8058,2334.4464000000003
,,,,,,,327,1030.9684,6066.4890000000005,2284.4338000000002
,,,,,,,328,986.0752,5801.855400000001,2184.8024
,,,,,,,329,938.4254,5522.2573999999995,2079.6578000000004
,,,,,,,330,841.1568,4948.4908000000005,1863.4616
,,,,,,,331,723.4106,4256.978,1603.1598000000001
,,,,,,,332,578.4922,3404.0072,1281.819
,,,,,,,333,461.13980000000004,2712.4944,1021.5172000000001
,,,,,,,334,358.358,2109.5866,794.2946000000002
,,,,,,,335,258.3328,1520.8556,572.979
,,,,,,,336,176.0286,1035.6940000000002,389.862
,,,,,,,337,63.79560000000001,374.5038,140.9804
,,,,,,,338,48.043600000000005,282.3546,106.32600000000001
,,,,,,,339,68.915,405.2202,152.7944
,,,,,,,340,157.52,927.3990000000001,349.3006
,,,,,,,341,324.49120000000005,1909.93,719.4726
,,,,,,,342,528.0858000000001,3107.8696000000004,1170.3736000000001
,,,,,,,343,661.1902,3890.744,1465.3298000000002
,,,,,,,344,757.6712,4458.9974,1679.1632000000002
,,,,,,,345,797.0512,4689.3704,1765.7992000000002
,,,,,,,346,843.9134,4965.818,1870.1562000000001
,,,,,,,347,1000.6458000000001,5886.916200000001,2217.094
,,,,,,,348,1065.6228,6270.8712000000005,2361.6186000000002
,,,,,,,349,1097.1268,6455.1696,2430.9274
,,,,,,,350,1076.2554,6332.304000000001,2384.459
,,,,,,,351,1065.6228,6270.8712000000005,2361.6186000000002
,,,,,,,352,1021.5172000000001,6009.781800000001,2263.1686
,,,,,,,353,969.1418,5702.617800000001,2147.3914
,,,,,,,354,856.9088000000002,5042.2152,1898.9036
,,,,,,,355,713.5656000000001,4197.908,1580.7132000000001
,,,,,,,356,543.8378,3200.0188000000003,1205.0280000000002
,,,,,,,357,413.49,2432.1088,915.9788000000001
,,,,,,,358,288.26160000000004,1695.309,638.3498000000001
,,,,,,,359,178.39140000000003,1050.2646000000002,395.3752
