t,SE_Electrolyzer_H2Gen,MIDAT_Electrolyzer_H2Gen,NE_Electrolyzer_H2Gen,SE_Large_SMR_wCCS_96pct_H2Gen,MIDAT_Large_SMR_wCCS_96pct_H2Gen,NE_Large_SMR_wCCS_96pct_H2Gen,SE_ATR_wCCS_94pct_H2Gen,MIDAT_ATR_wCCS_94pct_H2Gen,NE_ATR_wCCS_94pct_H2Gen,SE_Above_ground_storage_H2Gen,MIDAT_Above_ground_storage_H2Gen,NE_Above_ground_storage_H2Gen
2514,2024.7375549890528,470.4993048582811,67.93782621904772,4.281665480519954e-25,3825.676543590526,1514.1187619626369,8.381960631353144e-26,1.0374879266949808e-25,8.85365991604691e-26,12746.262445010947,3069.824151551193,229.94341181831524
2515,2024.7375549890528,470.4993048582811,67.93782621904772,4.280809888152982e-25,3825.676543590526,1514.1187619626367,8.362610922807552e-26,1.0365731547790958e-25,8.8398427279304e-26,12746.262445010947,3069.8241515511927,229.9434118183155
2516,2024.7375549890528,3215.387175354998,297.88123803736306,4.27811381296601e-25,3825.676543590526,1514.1187619626367,8.339188991192519e-26,1.0361563913158683e-25,8.812256997583522e-26,12746.262445010947,324.9362810544752,7.419160747219589e-26
2517,11297.112381513827,4234.49374372453,611.4404359714295,4.273890309720035e-25,3825.676543590527,1514.1187619626367,8.317721702240166e-26,1.031895240771956e-25,8.681969294594456e-26,3473.8876184861724,2.1072514967162625e-26,2.8893693383455217e-26
2518,18222.637994901474,4234.49374372453,611.4404359714295,4.25436762134823e-25,3825.676543590546,1514.1187619626353,8.209885799388266e-26,1.0305001740167375e-25,8.639035488121552e-26,2.5356589710984733e-26,1.8096553574137273e-26,2.936416849552941e-26
2519,18222.637994901474,4234.49374372453,611.4404359714295,4.246679373078336e-25,3825.676543590524,1514.118761962639,8.174318378339396e-26,1.0293633283702254e-25,8.600703491630924e-26,2.568324503777052e-26,1.8005744259059894e-26,2.967932130606254e-26
2520,18222.637994901474,4234.49374372453,611.4404359714295,4.241302823141316e-25,3825.676543590517,1514.1187619626367,8.143348358789428e-26,1.028386699984426e-25,8.565992739866066e-26,2.5991610908407536e-26,1.7998446048804477e-26,2.9947671550338396e-26
2521,18623.082148783335,9322.87846955918,5.913112765395541,1.7987517661926707e-27,5.529516439251581e-27,4.649608936190587e-26,1.8945592346459456e-27,6.921259900043014e-27,1808.0984811520455,2.9266276860828518e-27,4.251594450485672e-27,2.8270158194291075e-27
2522,18623.082148783335,9322.87846955918,5.913112765395541,1.7872004885606226e-27,5.534154440527546e-27,4.6505865252057514e-26,1.868187957191728e-27,6.827389442025741e-27,1808.0984811520543,2.94319433623598e-27,4.307005816289601e-27,2.846950782871879e-27
2523,18623.082148783335,9322.87846955918,5.913112765395541,1.7789846405667867e-27,5.514218245562343e-27,4.596183062488861e-26,1.8495959841997435e-27,6.748546503123097e-27,1808.0984811520498,2.9415278101303523e-27,4.3149402813045e-27,2.8060452601290867e-27
2524,18623.082148783335,9322.87846955918,5.913112765395541,1.7595122166194483e-27,5.468373307795128e-27,4.5502089658571707e-26,1.822572369513912e-27,6.655286697937272e-27,1808.0984811520475,2.9772982193303265e-27,4.427178777131817e-27,2.8645273473718985e-27
2525,18623.082148783335,9322.87846955918,5.913112765395541,1.743807984959429e-27,5.415729396342047e-27,4.4835962547426686e-26,1.80282289969793e-27,6.576552738176756e-27,1808.0984811520475,3.0009232259087055e-27,4.472280447171109e-27,2.8124256171770178e-27
2526,18623.082148783335,9322.87846955918,5.913112765395541,1.7290009794607112e-27,5.371975324204104e-27,4.4558917282636195e-26,1.786630764587379e-27,6.506764991128176e-27,1808.0984811520489,3.0239677339572027e-27,4.496298462281941e-27,2.7962503658610247e-27
2527,18623.082148783335,9322.87846955918,5.9131127653955415,1.7122186178562843e-27,5.32411212357693e-27,4.398622279305219e-26,1.7615468168122755e-27,6.424783272363693e-27,1808.0984811520518,3.0322417346743406e-27,4.534786882274618e-27,2.8646583382262795e-27
2528,18623.082148783335,9322.87846955918,5.9131127653955415,1.707984590536546e-27,5.311170768717414e-27,4.4224696926835624e-26,1.7510544725695663e-27,6.3758616821954394e-27,1808.0984811520507,3.0363128781389773e-27,4.559773971146325e-27,2.8515821413613956e-27
2529,18623.082148783335,9322.87846955918,5.913112765395542,1.708397825398646e-27,5.309967795689297e-27,4.4523724065176793e-26,1.747435483630646e-27,6.3443964110172565e-27,1808.0984811520505,3.0527131431087303e-27,4.602573536008098e-27,2.81512262103241e-27
2530,18623.082148783335,9322.87846955918,5.913112765395539,1.7026273379459525e-27,5.2966110384694616e-27,4.429485308171963e-26,1.7339242235846445e-27,6.309266269590983e-27,1808.0984811520502,3.051605485508769e-27,4.620487359790547e-27,2.8487017187518907e-27
2531,18623.082148783335,9322.87846955918,5.9131127653955415,1.702503183634368e-27,5.29582140486006e-27,4.429910566232525e-26,1.729065760898908e-27,6.285639335704016e-27,1808.098481152049,3.06848583075144e-27,4.628349203631567e-27,2.8632061820471557e-27
2532,18623.082148783335,9322.87846955918,5.913112765395541,1.709013653198544e-27,5.31006540822683e-27,4.4587200112794785e-26,1.7331030104547293e-27,6.274866574273703e-27,1808.0984811520464,3.103603400221535e-27,4.6615511180555846e-27,2.808500443271135e-27
2533,18623.082148783335,9322.87846955918,5.9131127653955415,1.708474469999226e-27,5.306486109018525e-27,4.435121251248595e-26,1.7255978943229338e-27,6.239931322436031e-27,1808.0984811520502,3.12285305691909e-27,4.686755901696924e-27,2.858163189372591e-27
2534,18623.082148783335,9322.87846955918,5.91311276539554,1.7145463339769422e-27,5.3196872882866175e-27,4.432537890393397e-26,1.7260254789272286e-27,6.2125622183112655e-27,1808.0984811520505,3.1825898245547615e-27,4.7660122308790196e-27,2.8679199488518584e-27
2535,18623.082148783335,9322.87846955918,5.9131127653955415,1.7299914711797646e-27,5.354617932636105e-27,4.47644465554257e-26,1.735136665748813e-27,6.1962360445868565e-27,1808.0984811520498,3.309495244271754e-27,4.8641274892447675e-27,2.8361884064129242e-27
2536,17808.66809701695,9322.87846955918,5.913112765395539,1.7426043111207117e-27,5.371710816795071e-27,4.5068671675137833e-26,1.733576083885288e-27,6.164829018308189e-27,1808.098481152054,1.0224390039200318e-26,5.815708959861827e-27,2.8955071732871785e-27
2537,2069.231349864815,9322.87846955918,5.913112765395544,1.7646678052794742e-27,5.411516167599721e-27,4.553415287651827e-26,1.7382810831809828e-27,6.139592394951171e-27,1808.09848115205,12701.768650135185,8.959831563846524e-27,2.9341187253587973e-27
2538,2069.231349864815,9322.87846955918,5.913112765395542,1.8023090799886156e-27,5.484780608177199e-27,4.627508091037127e-26,1.7496035516233864e-27,6.147911780310884e-27,1808.0984811520505,12701.768650135185,8.951599740026086e-27,2.8308054518841503e-27
2539,2069.231349864815,9322.87846955918,5.9131127653955415,1.8118957966063594e-27,5.521463419091336e-27,4.6447712564068396e-26,1.7470678793166326e-27,6.1502809036941166e-27,1808.0984811520511,12701.768650135185,8.97033040391498e-27,2.918623955611976e-27
2540,2069.231349864815,9322.87846955918,5.913112765395541,1.8101023692381685e-27,5.526493041670718e-27,4.6407366145004003e-26,1.7440166569658087e-27,6.152537914514155e-27,1808.0984811520489,12701.768650135185,8.972432929430596e-27,2.9462153898014485e-27
2541,2069.231349864815,9322.87846955918,5.913112765395542,1.8089233914056503e-27,5.5246282875001354e-27,4.638968332884914e-26,1.7462304366703494e-27,6.164985256623042e-27,1808.0984811520511,12701.768650135185,8.936398265982826e-27,2.899736530523574e-27
2542,5904.696475558952,9322.87846955918,5.913112765395542,1.7811957396919303e-27,5.4705222274988416e-27,4.587041069758291e-26,1.738272785473338e-27,6.164365104579315e-27,1808.0984811520498,8866.303524441048,6.772038154500477e-27,2.93341965736445e-27
2543,18623.082148783335,9322.87846955918,5.91311276539554,1.7625917680845847e-27,5.441257515597456e-27,4.554141731035274e-26,1.735286441685695e-27,6.178843353748612e-27,1808.09848115205,1.0109386593178988e-26,5.8762248017024875e-27,2.9418377972121465e-27
2544,18623.082148783335,9322.87846955918,5.913112765395541,1.7552067521310685e-27,5.443417733961987e-27,4.538951651300326e-26,1.7372712827238843e-27,6.226452438896353e-27,1808.0984811520493,3.308828133653662e-27,4.8918054324590926e-27,2.926091825018488e-27
2545,18623.082148783335,9322.87846955918,5.9131127653955415,1.740503592074819e-27,5.4257165120915865e-27,4.5153861110215284e-26,1.730157949987667e-27,6.2437949875538584e-27,1808.0984811520498,3.2073856270963854e-27,4.833560987693264e-27,2.974400360376218e-27
2546,18623.082148783335,9322.87846955918,5.913112765395539,1.7349641163521497e-27,5.4215481342202284e-27,4.503671526519933e-26,1.7295236035659986e-27,6.269023038401094e-27,1808.0984811520518,3.1517271348201506e-27,4.777521281657117e-27,2.9770046781726446e-27
2547,18623.082148783335,9322.87846955918,5.913112765395541,1.7341140998214407e-27,5.420755306704242e-27,4.4944220834267925e-26,1.7342806586446763e-27,6.2999986783095295e-27,1808.0984811520493,3.112967344224042e-27,4.711855616356717e-27,2.931738452441305e-27
2548,18623.082148783335,9322.87846955918,5.9131127653955415,1.720333957550341e-27,5.3896926565968266e-27,4.4732981183938975e-26,1.728660608097984e-27,6.307219853298237e-27,1808.0984811520505,3.0886413627826694e-27,4.693443166067798e-27,2.9580378641166653e-27
2549,18623.082148783335,9322.87846955918,5.91311276539554,1.709653863880256e-27,5.361417731776489e-27,4.469559384169252e-26,1.7267082918815557e-27,6.314565293130808e-27,1808.098481152049,3.0856575939218753e-27,4.672204524318562e-27,2.909964860958374e-27
2550,18623.082148783335,9322.87846955918,5.913112765395541,1.694040367781164e-27,5.310694051564943e-27,4.437922373988204e-26,1.719100684625659e-27,6.305803715280719e-27,1808.09848115205,3.0783181996914515e-27,4.670237737966091e-27,2.899356085942539e-27
2551,18623.082148783335,9322.87846955918,5.913112765395541,1.6748546191213844e-27,5.267238239770615e-27,4.427356215621929e-26,1.701996382963026e-27,6.278565076336105e-27,1808.0984811520507,2.990212026236999e-27,4.604867015010171e-27,2.9350090317032323e-27
2552,18623.082148783335,9322.87846955918,5.913112765395541,1.6733542606284803e-27,5.267329244136993e-27,4.471665607318532e-26,1.70297953698e-27,6.2821816355610005e-27,1808.0984811520475,3.0055128230400957e-27,4.596323454537018e-27,2.897307110121401e-27
2553,18623.082148783335,9322.87846955918,5.913112765395541,1.6775506292725986e-27,5.278541686363046e-27,4.512967506076175e-26,1.7100952813902588e-27,6.291807746191419e-27,1808.0984811520507,3.0736339581130262e-27,4.6310781540942515e-27,2.8488032225029562e-27
2554,18623.082148783335,9322.87846955918,5.913112765395541,1.6741447712108565e-27,5.27053566855284e-27,4.525082007878582e-26,1.704679555215704e-27,6.268585376371669e-27,1808.0984811520464,3.0339699063029247e-27,4.614004532020117e-27,2.883602449890681e-27
2555,18623.082148783335,9322.87846955918,5.913112765395541,1.675828382751686e-27,5.2752621696601825e-27,4.534775138663753e-26,1.705668838159276e-27,6.254602040352103e-27,1808.0984811520498,3.072476423186171e-27,4.658487104066791e-27,2.877650836835184e-27
2556,18623.082148783335,9322.87846955918,5.913112765395539,1.679894542953594e-27,5.289272822749741e-27,4.607063942194259e-26,1.7094360082727925e-27,6.24474910987442e-27,1808.0984811520507,3.105178966418941e-27,4.68518854285645e-27,2.8498355586188323e-27
