Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,472,130260.0,101749.0,40336.0
,,,,,,,,473,130549.0,104920.0,42896.0
,,,,,,,,474,135293.0,110221.0,44441.0
,,,,,,,,475,140453.0,109626.0,43900.0
,,,,,,,,476,138722.0,106945.0,42357.0
,,,,,,,,477,134999.0,104124.0,40466.0
,,,,,,,,478,130340.0,100578.0,38458.0
,,,,,,,,479,123873.0,94798.0,35529.0
,,,,,,,,480,115420.0,87306.0,32285.0
,,,,,,,,481,107578.0,81393.0,29818.0
,,,,,,,,482,101699.0,77550.0,28239.0
,,,,,,,,483,98419.0,75682.0,27333.0
,,,,,,,,484,96546.0,74636.0,26950.0
,,,,,,,,485,96054.0,74903.0,27014.0
,,,,,,,,486,97964.0,76735.0,27867.0
,,,,,,,,487,102184.0,80502.0,29579.0
,,,,,,,,488,107195.0,84779.0,31688.0
,,,,,,,,489,114093.0,88851.0,34058.0
,,,,,,,,490,120176.0,91662.0,35805.0
,,,,,,,,491,124057.0,92704.0,36601.0
,,,,,,,,492,125261.0,92071.0,36780.0
,,,,,,,,493,125107.0,90928.0,36589.0
,,,,,,,,494,124335.0,89529.0,36218.0
,,,,,,,,495,123342.0,88446.0,36051.0
,,,,,,,,496,122726.0,88611.0,36511.0
,,,,,,,,497,122948.0,91423.0,39073.0
,,,,,,,,498,128444.0,98847.0,41110.0
,,,,,,,,499,133790.0,100037.0,40795.0
,,,,,,,,500,132954.0,98449.0,39470.0
,,,,,,,,501,129760.0,96461.0,37985.0
,,,,,,,,502,125660.0,93619.0,36279.0
,,,,,,,,503,119760.0,89015.0,33943.0
,,,,,,,,504,112198.0,83162.0,31234.0
,,,,,,,,505,105232.0,70413.0,26871.0
,,,,,,,,506,100456.0,68318.0,25786.0
,,,,,,,,507,97534.0,67187.0,25106.0
,,,,,,,,508,96290.0,67233.0,24830.0
,,,,,,,,509,96817.0,68686.0,25097.0
,,,,,,,,510,99627.0,72105.0,26169.0
,,,,,,,,511,103865.0,76083.0,28000.0
,,,,,,,,512,109591.0,79757.0,30146.0
,,,,,,,,513,115805.0,82807.0,32323.0
,,,,,,,,514,121168.0,84096.0,33820.0
,,,,,,,,515,124738.0,84104.0,34495.0
,,,,,,,,516,126810.0,83279.0,34650.0
,,,,,,,,517,128458.0,82457.0,34392.0
,,,,,,,,518,129691.0,81310.0,33942.0
,,,,,,,,519,131029.0,80635.0,33499.0
,,,,,,,,520,131632.0,80778.0,33352.0
,,,,,,,,521,132017.0,81396.0,33827.0
,,,,,,,,522,130664.0,84247.0,35238.0
,,,,,,,,523,130448.0,87739.0,36629.0
,,,,,,,,524,130582.0,86479.0,35694.0
,,,,,,,,525,126225.0,83526.0,34005.0
,,,,,,,,526,120251.0,79716.0,32091.0
,,,,,,,,527,112868.0,75137.0,29780.0
,,,,,,,,528,105381.0,71149.0,27501.0
,,,,,,,,529,99328.0,68412.0,25794.0
,,,,,,,,530,95194.0,66775.0,24648.0
,,,,,,,,531,92721.0,66060.0,23978.0
,,,,,,,,532,91763.0,66291.0,23677.0
,,,,,,,,533,92166.0,67680.0,23863.0
,,,,,,,,534,94541.0,70300.0,24625.0
