Time_Index,lignite,coal,ng,ngccus90,oil,biomass,uranium,None
261,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
262,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
263,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
264,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
265,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
266,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
267,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
268,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
269,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
270,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
271,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
272,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
273,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
274,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
275,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
276,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
277,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
278,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
279,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
280,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
281,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
282,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
283,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
284,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
285,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
286,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
287,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
288,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
289,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
290,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
291,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
292,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
293,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
294,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
295,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
