Global_conventional_diesel_price_per_mmbtu,Conventional_diesel_co2_per_mmbtu,Syn_diesel_co2_per_mmbtu,Bio_diesel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,,473,69613,44748,28273
,,,,474,69613,44748,28273
,,,,475,69613,44748,28273
,,,,476,69613,44748,28273
,,,,477,69613,44748,28273
,,,,478,69613,44748,28273
,,,,479,69613,44748,28273
,,,,480,69613,44748,28273
,,,,481,69613,44748,28273
,,,,482,69613,44748,28273
,,,,483,69613,44748,28273
,,,,484,69613,44748,28273
,,,,485,69613,44748,28273
,,,,486,69613,44748,28273
,,,,487,69613,44748,28273
,,,,488,69613,44748,28273
,,,,489,69613,44748,28273
,,,,490,69613,44748,28273
,,,,491,69613,44748,28273
,,,,492,69613,44748,28273
,,,,493,69613,44748,28273
,,,,494,69613,44748,28273
,,,,495,69613,44748,28273
,,,,496,69613,44748,28273
,,,,497,69613,44748,28273
,,,,498,69613,44748,28273
,,,,499,69613,44748,28273
,,,,500,69613,44748,28273
,,,,501,69613,44748,28273
,,,,502,69613,44748,28273
,,,,503,69613,44748,28273
,,,,504,69613,44748,28273
,,,,505,69613,44748,28273
,,,,506,69613,44748,28273
,,,,507,69613,44748,28273
,,,,508,69613,44748,28273
,,,,509,69613,44748,28273
,,,,510,69613,44748,28273
,,,,511,69613,44748,28273
,,,,512,69613,44748,28273
,,,,513,69613,44748,28273
,,,,514,69613,44748,28273
,,,,515,69613,44748,28273
,,,,516,69613,44748,28273
,,,,517,69613,44748,28273
,,,,518,69613,44748,28273
,,,,519,69613,44748,28273
,,,,520,69613,44748,28273
,,,,521,69613,44748,28273
,,,,522,69613,44748,28273
,,,,523,69613,44748,28273
,,,,524,69613,44748,28273
,,,,525,69613,44748,28273
,,,,526,69613,44748,28273
,,,,527,69613,44748,28273
,,,,528,69613,44748,28273
,,,,529,69613,44748,28273
,,,,530,69613,44748,28273
,,,,531,69613,44748,28273
,,,,532,69613,44748,28273
,,,,533,69613,44748,28273
,,,,534,69613,44748,28273
,,,,535,69613,44748,28273
,,,,536,69613,44748,28273
,,,,537,69613,44748,28273
,,,,538,69613,44748,28273
,,,,539,69613,44748,28273
,,,,540,69613,44748,28273
,,,,541,69613,44748,28273
,,,,542,69613,44748,28273
,,,,543,69613,44748,28273
,,,,544,69613,44748,28273
,,,,545,69613,44748,28273
,,,,546,69613,44748,28273
,,,,547,69613,44748,28273
,,,,548,69613,44748,28273
,,,,549,69613,44748,28273
,,,,550,69613,44748,28273
,,,,551,69613,44748,28273
,,,,552,69613,44748,28273
,,,,553,69613,44748,28273
,,,,554,69613,44748,28273
,,,,555,69613,44748,28273
,,,,556,69613,44748,28273
,,,,557,69613,44748,28273
,,,,558,69613,44748,28273
,,,,559,69613,44748,28273
,,,,560,69613,44748,28273
,,,,561,69613,44748,28273
,,,,562,69613,44748,28273
,,,,563,69613,44748,28273
,,,,564,69613,44748,28273
,,,,565,69613,44748,28273
,,,,566,69613,44748,28273
,,,,567,69613,44748,28273
,,,,568,69613,44748,28273
,,,,569,69613,44748,28273
,,,,570,69613,44748,28273
,,,,571,69613,44748,28273
,,,,572,69613,44748,28273
,,,,573,69613,44748,28273
,,,,574,69613,44748,28273
,,,,575,69613,44748,28273
,,,,576,69613,44748,28273
,,,,577,69613,44748,28273
,,,,578,69613,44748,28273
,,,,579,69613,44748,28273
,,,,580,69613,44748,28273
,,,,581,69613,44748,28273
,,,,582,69613,44748,28273
,,,,583,69613,44748,28273
,,,,584,69613,44748,28273
,,,,585,69613,44748,28273
,,,,586,69613,44748,28273
,,,,587,69613,44748,28273
,,,,588,69613,44748,28273
,,,,589,69613,44748,28273
,,,,590,69613,44748,28273
,,,,591,69613,44748,28273
,,,,592,69613,44748,28273
,,,,593,69613,44748,28273
,,,,594,69613,44748,28273
,,,,595,69613,44748,28273
,,,,596,69613,44748,28273
,,,,597,69613,44748,28273
,,,,598,69613,44748,28273
,,,,599,69613,44748,28273
,,,,600,69613,44748,28273
,,,,601,69613,44748,28273
,,,,602,69613,44748,28273
,,,,603,69613,44748,28273
,,,,604,69613,44748,28273
,,,,605,69613,44748,28273
,,,,606,69613,44748,28273
,,,,607,69613,44748,28273
,,,,608,69613,44748,28273
,,,,609,69613,44748,28273
,,,,610,69613,44748,28273
,,,,611,69613,44748,28273
,,,,612,69613,44748,28273
,,,,613,69613,44748,28273
,,,,614,69613,44748,28273
,,,,615,69613,44748,28273
,,,,616,69613,44748,28273
,,,,617,69613,44748,28273
,,,,618,69613,44748,28273
,,,,619,69613,44748,28273
,,,,620,69613,44748,28273
,,,,621,69613,44748,28273
,,,,622,69613,44748,28273
,,,,623,69613,44748,28273
,,,,624,69613,44748,28273
,,,,625,69613,44748,28273
,,,,626,69613,44748,28273
,,,,627,69613,44748,28273
,,,,628,69613,44748,28273
,,,,629,69613,44748,28273
,,,,630,69613,44748,28273
,,,,631,69613,44748,28273
,,,,632,69613,44748,28273
,,,,633,69613,44748,28273
,,,,634,69613,44748,28273
,,,,635,69613,44748,28273
,,,,636,69613,44748,28273
,,,,637,69613,44748,28273
,,,,638,69613,44748,28273
,,,,639,69613,44748,28273
,,,,640,69613,44748,28273
,,,,641,69613,44748,28273
,,,,642,69613,44748,28273
,,,,643,69613,44748,28273
,,,,644,69613,44748,28273
,,,,645,69613,44748,28273
,,,,646,69613,44748,28273
,,,,647,69613,44748,28273
,,,,648,69613,44748,28273
,,,,649,69613,44748,28273
,,,,650,69613,44748,28273
,,,,651,69613,44748,28273
,,,,652,69613,44748,28273
,,,,653,69613,44748,28273
,,,,654,69613,44748,28273
,,,,655,69613,44748,28273
,,,,656,69613,44748,28273
,,,,657,69613,44748,28273
,,,,658,69613,44748,28273
,,,,659,69613,44748,28273
,,,,660,69613,44748,28273
,,,,661,69613,44748,28273
,,,,662,69613,44748,28273
,,,,663,69613,44748,28273
,,,,664,69613,44748,28273
,,,,665,69613,44748,28273
,,,,666,69613,44748,28273
,,,,667,69613,44748,28273
,,,,668,69613,44748,28273
,,,,669,69613,44748,28273
,,,,670,69613,44748,28273
,,,,671,69613,44748,28273
,,,,672,69613,44748,28273
,,,,673,69613,44748,28273
,,,,674,69613,44748,28273
,,,,675,69613,44748,28273
,,,,676,69613,44748,28273
,,,,677,69613,44748,28273
,,,,678,69613,44748,28273
,,,,679,69613,44748,28273
,,,,680,69613,44748,28273
,,,,681,69613,44748,28273
,,,,682,69613,44748,28273
,,,,683,69613,44748,28273
,,,,684,69613,44748,28273
,,,,685,69613,44748,28273
,,,,686,69613,44748,28273
,,,,687,69613,44748,28273
,,,,688,69613,44748,28273
,,,,689,69613,44748,28273
,,,,690,69613,44748,28273
,,,,691,69613,44748,28273
,,,,692,69613,44748,28273
,,,,693,69613,44748,28273
,,,,694,69613,44748,28273
,,,,695,69613,44748,28273
,,,,696,69613,44748,28273
,,,,697,69613,44748,28273
,,,,698,69613,44748,28273
,,,,699,69613,44748,28273
,,,,700,69613,44748,28273
,,,,701,69613,44748,28273
,,,,702,69613,44748,28273
,,,,703,69613,44748,28273
,,,,704,69613,44748,28273
,,,,705,69613,44748,28273
,,,,706,69613,44748,28273
,,,,707,69613,44748,28273
,,,,708,69613,44748,28273
,,,,709,69613,44748,28273
,,,,710,69613,44748,28273
,,,,711,69613,44748,28273
,,,,712,69613,44748,28273
,,,,713,69613,44748,28273
,,,,714,69613,44748,28273
,,,,715,69613,44748,28273
,,,,716,69613,44748,28273
,,,,717,69613,44748,28273
,,,,718,69613,44748,28273
,,,,719,69613,44748,28273
,,,,720,69613,44748,28273
,,,,721,69613,44748,28273
,,,,722,69613,44748,28273
,,,,723,69613,44748,28273
,,,,724,69613,44748,28273
,,,,725,69613,44748,28273
,,,,726,69613,44748,28273
,,,,727,69613,44748,28273
,,,,728,69613,44748,28273
,,,,729,69613,44748,28273
,,,,730,69613,44748,28273
,,,,731,69613,44748,28273
,,,,732,69613,44748,28273
,,,,733,69613,44748,28273
,,,,734,69613,44748,28273
,,,,735,69613,44748,28273
,,,,736,69613,44748,28273
,,,,737,69613,44748,28273
,,,,738,69613,44748,28273
,,,,739,69613,44748,28273
,,,,740,69613,44748,28273
,,,,741,69613,44748,28273
,,,,742,69613,44748,28273
,,,,743,69613,44748,28273
,,,,744,69613,44748,28273
,,,,745,69613,44748,28273
,,,,746,69613,44748,28273
,,,,747,69613,44748,28273
,,,,748,69613,44748,28273
,,,,749,69613,44748,28273
,,,,750,69613,44748,28273
,,,,751,69613,44748,28273
,,,,752,69613,44748,28273
,,,,753,69613,44748,28273
,,,,754,69613,44748,28273
,,,,755,69613,44748,28273
,,,,756,69613,44748,28273
,,,,757,69613,44748,28273
,,,,758,69613,44748,28273
,,,,759,69613,44748,28273
,,,,760,69613,44748,28273
,,,,761,69613,44748,28273
,,,,762,69613,44748,28273
,,,,763,69613,44748,28273
,,,,764,69613,44748,28273
,,,,765,69613,44748,28273
,,,,766,69613,44748,28273
,,,,767,69613,44748,28273
,,,,768,69613,44748,28273
,,,,769,69613,44748,28273
,,,,770,69613,44748,28273
,,,,771,69613,44748,28273
,,,,772,69613,44748,28273
,,,,773,69613,44748,28273
,,,,774,69613,44748,28273
,,,,775,69613,44748,28273
,,,,776,69613,44748,28273
,,,,777,69613,44748,28273
,,,,778,69613,44748,28273
,,,,779,69613,44748,28273
,,,,780,69613,44748,28273
,,,,781,69613,44748,28273
,,,,782,69613,44748,28273
,,,,783,69613,44748,28273
,,,,784,69613,44748,28273
,,,,785,69613,44748,28273
,,,,786,69613,44748,28273
,,,,787,69613,44748,28273
,,,,788,69613,44748,28273
,,,,789,69613,44748,28273
,,,,790,69613,44748,28273
,,,,791,69613,44748,28273
,,,,792,69613,44748,28273
,,,,793,69613,44748,28273
,,,,794,69613,44748,28273
,,,,795,69613,44748,28273
,,,,796,69613,44748,28273
,,,,797,69613,44748,28273
,,,,798,69613,44748,28273
,,,,799,69613,44748,28273
,,,,800,69613,44748,28273
,,,,801,69613,44748,28273
,,,,802,69613,44748,28273
,,,,803,69613,44748,28273
,,,,804,69613,44748,28273
,,,,805,69613,44748,28273
,,,,806,69613,44748,28273
,,,,807,69613,44748,28273
,,,,808,69613,44748,28273
,,,,809,69613,44748,28273
,,,,810,69613,44748,28273
,,,,811,69613,44748,28273
,,,,812,69613,44748,28273
,,,,813,69613,44748,28273
,,,,814,69613,44748,28273
,,,,815,69613,44748,28273
,,,,816,69613,44748,28273
,,,,817,69613,44748,28273
,,,,818,69613,44748,28273
,,,,819,69613,44748,28273
,,,,820,69613,44748,28273
,,,,821,69613,44748,28273
,,,,822,69613,44748,28273
,,,,823,69613,44748,28273
,,,,824,69613,44748,28273
,,,,825,69613,44748,28273
,,,,826,69613,44748,28273
,,,,827,69613,44748,28273
,,,,828,69613,44748,28273
,,,,829,69613,44748,28273
,,,,830,69613,44748,28273
,,,,831,69613,44748,28273
,,,,832,69613,44748,28273
,,,,833,69613,44748,28273
,,,,834,69613,44748,28273
,,,,835,69613,44748,28273
,,,,836,69613,44748,28273
,,,,837,69613,44748,28273
,,,,838,69613,44748,28273
,,,,839,69613,44748,28273
,,,,840,69613,44748,28273
,,,,841,69613,44748,28273
,,,,842,69613,44748,28273
,,,,843,69613,44748,28273
,,,,844,69613,44748,28273
,,,,845,69613,44748,28273
,,,,846,69613,44748,28273
,,,,847,69613,44748,28273
,,,,848,69613,44748,28273
,,,,849,69613,44748,28273
,,,,850,69613,44748,28273
,,,,851,69613,44748,28273
,,,,852,69613,44748,28273
,,,,853,69613,44748,28273
,,,,854,69613,44748,28273
