Time_Index,None,east_north_central_reference_naturalgas,south_atlantic_reference_naturalgas,east_north_central_reference_uranium,south_atlantic_reference_uranium,middle_atlantic_reference_naturalgas,middle_atlantic_reference_uranium,east_south_central_reference_naturalgas,east_south_central_reference_uranium,east_north_central_reference_coal,south_atlantic_reference_coal,middle_atlantic_reference_coal,east_south_central_reference_coal
115,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
116,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
117,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
118,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
119,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
120,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
121,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
122,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
123,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
124,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
125,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
126,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
127,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
128,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
129,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
130,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
131,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
132,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
133,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
134,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
135,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
136,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
137,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
138,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
139,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
140,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
141,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
142,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
143,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
144,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
145,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
146,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
147,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
148,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
149,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
150,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
151,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
152,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
