,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
t76,0.0,0,0,0.0,-4.860721267617902,0.0,9.090721267617901,0,0.0,-4.23,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,45.310833333333335,0,0.0,-24.87,211.1908887594737,0,0,0.0,-83.09858254316558,0.0,-118.73230621630813,0,0.0,-9.36
t77,0.0,0,0,0.0,-4.860721267617902,0.0,13.960721267617902,0,0.0,-9.1,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,73.98083333333334,0,0.0,-53.54,209.38627765127308,0,0,0.0,-70.49397143496496,0.0,-118.73230621630813,0,0.0,-20.16
t78,0.0,0,0,0.0,-4.751472882974783,0.0,19.371472882974782,0,0.0,-14.62,0.0,0.0,-0.0,0.0,-13.360833333333346,0.0,99.36083333333335,0,0.0,-86.0,211.1908887594737,0,0,0.0,-60.068582543165576,0.0,-118.73230621630813,0,0.0,-32.39
t79,0.0,0,0,0.0,-1.2914728829747837,0.0,19.371472882974782,0,0.0,-18.08,7.019166666666649,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-106.38,134.691063355178,0,0,0.0,-0.0,0.0,-94.63106335517799,0,0.0,-40.06
t80,0.0,0,0,1.3485271170252169,-0.0,0.0,19.371472882974782,0,0.0,-20.72,22.559166666666655,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-121.92,76.59649966516086,0,0,0.0,-0.0,0.0,-30.686499665160866,0,0.0,-45.91
t81,0.0,0,0,2.468527117025218,-0.0,0.0,19.371472882974782,0,0.0,-21.84,25.429166666666646,0.0,-0.0,3.6899999999999977,-0.0,0.0,99.36083333333335,0,0.0,-128.48,117.68735851371797,0,0,0.0,-0.0,0.0,-69.29735851371797,0,0.0,-48.39
t82,0.0,0,0,1.5285271170252628,-0.0,0.0,19.371472882974782,0,0.0,-20.9,23.599166666666648,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-122.96,196.1352742065923,0,0,0.0,-31.102967990284174,0.0,-118.73230621630813,0,0.0,-46.3
t83,0.0,0,0,1.4085271170252192,-0.0,0.0,19.371472882974782,0,0.0,-20.78,22.90916666666665,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-122.27,172.95077237499947,0,0,0.0,-8.178466158691345,0.0,-118.73230621630813,0,0.0,-46.04
t84,0.0,0,0,2.168527117025217,-0.0,0.0,19.371472882974782,0,0.0,-21.54,25.429166666666646,0.0,-0.0,1.9700000000001978,-0.0,0.0,99.36083333333335,0,0.0,-126.76,132.2030477829975,0,0,14.897785550335877,-0.0,0.0,-99.36083333333335,0,0.0,-47.74
t85,0.0,0,0,3.5185271170252186,-0.0,0.0,19.371472882974782,0,0.0,-22.89,25.429166666666646,0.0,-0.0,9.909999999999997,-0.0,0.0,99.36083333333335,0,0.0,-134.7,155.5665056837819,0,0,0.0,-0.0,0.0,-104.83650568378192,0,0.0,-50.73
