Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,392,1569.36,881.63,315.01
,,,393,1569.36,881.63,315.01
,,,394,1569.36,881.63,315.01
,,,395,1569.36,881.63,315.01
,,,396,1569.36,881.63,315.01
,,,397,1569.36,881.63,315.01
,,,398,1569.36,881.63,315.01
,,,399,1569.36,881.63,315.01
,,,400,1569.36,881.63,315.01
,,,401,1569.36,881.63,315.01
,,,402,1569.36,881.63,315.01
,,,403,1569.36,881.63,315.01
,,,404,1569.36,881.63,315.01
,,,405,1569.36,881.63,315.01
,,,406,1569.36,881.63,315.01
,,,407,1569.36,881.63,315.01
,,,408,1569.36,881.63,315.01
,,,409,1569.36,881.63,315.01
,,,410,1569.36,881.63,315.01
,,,411,1569.36,881.63,315.01
,,,412,1569.36,881.63,315.01
,,,413,1569.36,881.63,315.01
,,,414,1569.36,881.63,315.01
,,,415,1569.36,881.63,315.01
,,,416,1569.36,881.63,315.01
,,,417,1569.36,881.63,315.01
,,,418,1569.36,881.63,315.01
,,,419,1569.36,881.63,315.01
,,,420,1569.36,881.63,315.01
,,,421,1569.36,881.63,315.01
,,,422,1569.36,881.63,315.01
,,,423,1569.36,881.63,315.01
,,,424,1569.36,881.63,315.01
,,,425,1569.36,881.63,315.01
,,,426,1569.36,881.63,315.01
,,,427,1569.36,881.63,315.01
,,,428,1569.36,881.63,315.01
,,,429,1569.36,881.63,315.01
,,,430,1569.36,881.63,315.01
,,,431,1569.36,881.63,315.01
,,,432,1569.36,881.63,315.01
,,,433,1569.36,881.63,315.01
,,,434,1569.36,881.63,315.01
,,,435,1569.36,881.63,315.01
,,,436,1569.36,881.63,315.01
,,,437,1569.36,881.63,315.01
,,,438,1569.36,881.63,315.01
,,,439,1569.36,881.63,315.01
,,,440,1569.36,881.63,315.01
,,,441,1569.36,881.63,315.01
,,,442,1569.36,881.63,315.01
,,,443,1569.36,881.63,315.01
,,,444,1569.36,881.63,315.01
,,,445,1569.36,881.63,315.01
,,,446,1569.36,881.63,315.01
,,,447,1569.36,881.63,315.01
,,,448,1569.36,881.63,315.01
,,,449,1569.36,881.63,315.01
,,,450,1569.36,881.63,315.01
,,,451,1569.36,881.63,315.01
,,,452,1569.36,881.63,315.01
,,,453,1569.36,881.63,315.01
,,,454,1569.36,881.63,315.01
,,,455,1569.36,881.63,315.01
,,,456,1569.36,881.63,315.01
,,,457,1569.36,881.63,315.01
,,,458,1569.36,881.63,315.01
,,,459,1569.36,881.63,315.01
,,,460,1569.36,881.63,315.01
,,,461,1569.36,881.63,315.01
,,,462,1569.36,881.63,315.01
,,,463,1569.36,881.63,315.01
,,,464,1569.36,881.63,315.01
,,,465,1569.36,881.63,315.01
,,,466,1569.36,881.63,315.01
,,,467,1569.36,881.63,315.01
,,,468,1569.36,881.63,315.01
,,,469,1569.36,881.63,315.01
,,,470,1569.36,881.63,315.01
,,,471,1569.36,881.63,315.01
,,,472,1569.36,881.63,315.01
,,,473,1569.36,881.63,315.01
,,,474,1569.36,881.63,315.01
,,,475,1569.36,881.63,315.01
,,,476,1569.36,881.63,315.01
,,,477,1569.36,881.63,315.01
,,,478,1569.36,881.63,315.01
,,,479,1569.36,881.63,315.01
,,,480,1569.36,881.63,315.01
,,,481,1569.36,881.63,315.01
,,,482,1569.36,881.63,315.01
,,,483,1569.36,881.63,315.01
,,,484,1569.36,881.63,315.01
,,,485,1569.36,881.63,315.01
,,,486,1569.36,881.63,315.01
,,,487,1569.36,881.63,315.01
,,,488,1569.36,881.63,315.01
,,,489,1569.36,881.63,315.01
,,,490,1569.36,881.63,315.01
,,,491,1569.36,881.63,315.01
,,,492,1569.36,881.63,315.01
,,,493,1569.36,881.63,315.01
,,,494,1569.36,881.63,315.01
,,,495,1569.36,881.63,315.01
,,,496,1569.36,881.63,315.01
,,,497,1569.36,881.63,315.01
,,,498,1569.36,881.63,315.01
,,,499,1569.36,881.63,315.01
,,,500,1569.36,881.63,315.01
,,,501,1569.36,881.63,315.01
,,,502,1569.36,881.63,315.01
,,,503,1569.36,881.63,315.01
,,,504,1569.36,881.63,315.01
,,,505,1569.36,881.63,315.01
,,,506,1569.36,881.63,315.01
,,,507,1569.36,881.63,315.01
,,,508,1569.36,881.63,315.01
,,,509,1569.36,881.63,315.01
,,,510,1569.36,881.63,315.01
,,,511,1569.36,881.63,315.01
,,,512,1569.36,881.63,315.01
,,,513,1569.36,881.63,315.01
,,,514,1569.36,881.63,315.01
,,,515,1569.36,881.63,315.01
,,,516,1569.36,881.63,315.01
,,,517,1569.36,881.63,315.01
,,,518,1569.36,881.63,315.01
,,,519,1569.36,881.63,315.01
,,,520,1569.36,881.63,315.01
,,,521,1569.36,881.63,315.01
,,,522,1569.36,881.63,315.01
,,,523,1569.36,881.63,315.01
,,,524,1569.36,881.63,315.01
,,,525,1569.36,881.63,315.01
,,,526,1569.36,881.63,315.01
,,,527,1569.36,881.63,315.01
,,,528,1569.36,881.63,315.01
,,,529,1569.36,881.63,315.01
,,,530,1569.36,881.63,315.01
,,,531,1569.36,881.63,315.01
,,,532,1569.36,881.63,315.01
,,,533,1569.36,881.63,315.01
,,,534,1569.36,881.63,315.01
,,,535,1569.36,881.63,315.01
,,,536,1569.36,881.63,315.01
,,,537,1569.36,881.63,315.01
,,,538,1569.36,881.63,315.01
,,,539,1569.36,881.63,315.01
,,,540,1569.36,881.63,315.01
,,,541,1569.36,881.63,315.01
,,,542,1569.36,881.63,315.01
,,,543,1569.36,881.63,315.01
,,,544,1569.36,881.63,315.01
,,,545,1569.36,881.63,315.01
,,,546,1569.36,881.63,315.01
,,,547,1569.36,881.63,315.01
,,,548,1569.36,881.63,315.01
,,,549,1569.36,881.63,315.01
,,,550,1569.36,881.63,315.01
,,,551,1569.36,881.63,315.01
,,,552,1569.36,881.63,315.01
,,,553,1569.36,881.63,315.01
,,,554,1569.36,881.63,315.01
,,,555,1569.36,881.63,315.01
,,,556,1569.36,881.63,315.01
,,,557,1569.36,881.63,315.01
,,,558,1569.36,881.63,315.01
,,,559,1569.36,881.63,315.01
,,,560,1569.36,881.63,315.01
,,,561,1569.36,881.63,315.01
,,,562,1569.36,881.63,315.01
,,,563,1569.36,881.63,315.01
,,,564,1569.36,881.63,315.01
,,,565,1569.36,881.63,315.01
,,,566,1569.36,881.63,315.01
,,,567,1569.36,881.63,315.01
,,,568,1569.36,881.63,315.01
,,,569,1569.36,881.63,315.01
,,,570,1569.36,881.63,315.01
,,,571,1569.36,881.63,315.01
,,,572,1569.36,881.63,315.01
,,,573,1569.36,881.63,315.01
,,,574,1569.36,881.63,315.01
,,,575,1569.36,881.63,315.01
,,,576,1569.36,881.63,315.01
,,,577,1569.36,881.63,315.01
,,,578,1569.36,881.63,315.01
,,,579,1569.36,881.63,315.01
