,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss
t71,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,387.1184377200001,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t72,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,247.75580014080006,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t73,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.7065130898826,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t74,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t75,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t76,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t77,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t78,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t79,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t80,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
