,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
t122,10190.327211362392,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.006666666666664,-10163.320544695725
t123,9829.986147684318,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.12666666666667,-9802.859481017653
t124,9628.753838358274,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-25.566666666666663,-9603.187171691608
t125,9576.763028254736,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-20.866666666666664,-9555.896361588071
t126,9581.783004057825,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14.326666666666664,-9567.456337391157
t127,10234.143438616155,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-5.666666666666664,-10228.476771949488
t128,11376.067097128656,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-11376.067097128656
t129,12604.577252929432,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-12604.577252929432
t130,13440.048231425255,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13440.048231425255
t131,13888.785473963262,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13888.785473963262
t132,14050.625135206477,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-14050.625135206477
t133,14048.523321424098,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-14048.523321424098
t134,13921.363587590144,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13921.363587590144
t135,13805.763829559275,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13805.763829559275
t136,13776.338436605964,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13776.338436605964
t137,13819.42561914474,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13819.42561914474
t138,13853.054639662812,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13853.054639662812
t139,13682.807723290078,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13682.807723290078
t140,13426.386441839788,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13426.386441839788
t141,13526.673689611622,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.5019999999999953,-13525.171689611621
t142,13388.451391511728,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10.406666666666663,-13378.044724845062
t143,12441.25198831837,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14.278000000000219,-12426.97398831837
t144,11289.55035400278,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-21.726666666666667,-11267.823687336115
t145,10384.07589312368,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-25.28666666666666,-10358.789226457013
t146,9811.773451207664,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-23.62666666666667,-9788.146784540997
t147,9474.979618462196,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-9447.65295179553
t148,9273.736402244962,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-26.806666666666665,-9246.929735578295
t149,9229.071033488563,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-23.126666666666665,-9205.944366821896
t150,9150.427551105282,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18.046666666666663,-9132.380884438617
t151,9494.570452762648,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11.186666666666664,-9483.383786095981
t152,10339.646848408694,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-2.9266666666666623,-10336.720181742028
t153,11422.307000341003,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-11422.307000341003
t154,12252.523444380877,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-12252.523444380877
t155,12760.111472825509,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-12760.111472825509
t156,13051.21268168506,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13051.21268168506
t157,13174.168787954257,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13174.168787954257
t158,13106.910746918114,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13106.910746918114
t159,13065.925378161715,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13065.925378161715
t160,13106.910746918114,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13106.910746918114
t161,13261.394059923003,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13261.394059923003
t162,13422.18281427503,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13422.18281427503
t163,13388.553793756959,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13388.553793756959
t164,13284.078864413465,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.6666666666666643,-13282.412197746797
t165,13558.020121666841,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-7.626666666666662,-13550.393455000174
t166,13395.095019076487,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12.846666666666664,-13382.24835240982
t167,12244.177438767802,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17.926666666666662,-12226.250772101135
t168,11009.338214055128,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-22.106666666666662,-10987.231547388461
