Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1
,,,,1074,59245
,,,,1075,59245
,,,,1076,59245
,,,,1077,59245
,,,,1078,59245
,,,,1079,59245
,,,,1080,59245
,,,,1081,59245
,,,,1082,59245
,,,,1083,59245
,,,,1084,59245
,,,,1085,59245
,,,,1086,59245
,,,,1087,59245
,,,,1088,59245
,,,,1089,59245
,,,,1090,59245
,,,,1091,59245
,,,,1092,59245
,,,,1093,59245
,,,,1094,59245
,,,,1095,59245
,,,,1096,59245
,,,,1097,59245
,,,,1098,59245
,,,,1099,59245
,,,,1100,59245
,,,,1101,59245
,,,,1102,59245
,,,,1103,59245
,,,,1104,59245
,,,,1105,59245
,,,,1106,59245
,,,,1107,59245
,,,,1108,59245
,,,,1109,59245
,,,,1110,59245
,,,,1111,59245
,,,,1112,59245
,,,,1113,59245
,,,,1114,59245
,,,,1115,59245
,,,,1116,59245
,,,,1117,59245
,,,,1118,59245
,,,,1119,59245
,,,,1120,59245
,,,,1121,59245
,,,,1122,59245
,,,,1123,59245
,,,,1124,59245
,,,,1125,59245
,,,,1126,59245
,,,,1127,59245
,,,,1128,59245
,,,,1129,59245
,,,,1130,59245
,,,,1131,59245
,,,,1132,59245
,,,,1133,59245
,,,,1134,59245
,,,,1135,59245
,,,,1136,59245
,,,,1137,59245
,,,,1138,59245
,,,,1139,59245
,,,,1140,59245
,,,,1141,59245
,,,,1142,59245
,,,,1143,59245
,,,,1144,59245
,,,,1145,59245
,,,,1146,59245
,,,,1147,59245
,,,,1148,59245
,,,,1149,59245
,,,,1150,59245
,,,,1151,59245
,,,,1152,59245
,,,,1153,59245
,,,,1154,59245
,,,,1155,59245
,,,,1156,59245
,,,,1157,59245
,,,,1158,59245
,,,,1159,59245
,,,,1160,59245
,,,,1161,59245
,,,,1162,59245
,,,,1163,59245
,,,,1164,59245
,,,,1165,59245
,,,,1166,59245
,,,,1167,59245
,,,,1168,59245
,,,,1169,59245
,,,,1170,59245
,,,,1171,59245
,,,,1172,59245
,,,,1173,59245
,,,,1174,59245
,,,,1175,59245
,,,,1176,59245
,,,,1177,59245
,,,,1178,59245
,,,,1179,59245
,,,,1180,59245
,,,,1181,59245
,,,,1182,59245
,,,,1183,59245
,,,,1184,59245
,,,,1185,59245
,,,,1186,59245
,,,,1187,59245
,,,,1188,59245
,,,,1189,59245
,,,,1190,59245
,,,,1191,59245
,,,,1192,59245
,,,,1193,59245
,,,,1194,59245
,,,,1195,59245
,,,,1196,59245
,,,,1197,59245
,,,,1198,59245
,,,,1199,59245
,,,,1200,59245
,,,,1201,59245
,,,,1202,59245
,,,,1203,59245
,,,,1204,59245
,,,,1205,59245
,,,,1206,59245
,,,,1207,59245
,,,,1208,59245
,,,,1209,59245
,,,,1210,59245
,,,,1211,59245
,,,,1212,59245
,,,,1213,59245
,,,,1214,59245
,,,,1215,59245
,,,,1216,59245
,,,,1217,59245
,,,,1218,59245
,,,,1219,59245
,,,,1220,59245
,,,,1221,59245
,,,,1222,59245
,,,,1223,59245
,,,,1224,59245
,,,,1225,59245
,,,,1226,59245
,,,,1227,59245
,,,,1228,59245
,,,,1229,59245
,,,,1230,59245
,,,,1231,59245
,,,,1232,59245
,,,,1233,59245
,,,,1234,59245
,,,,1235,59245
,,,,1236,59245
