Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,MIDAT_reference_uranium
368,0,4.01,4.93,0.82,4.12,0.82,0.82
369,0,4.01,4.93,0.82,4.12,0.82,0.82
370,0,4.01,4.93,0.82,4.12,0.82,0.82
371,0,4.01,4.93,0.82,4.12,0.82,0.82
372,0,4.01,4.93,0.82,4.12,0.82,0.82
373,0,4.01,4.93,0.82,4.12,0.82,0.82
374,0,4.01,4.93,0.82,4.12,0.82,0.82
375,0,4.01,4.93,0.82,4.12,0.82,0.82
376,0,4.01,4.93,0.82,4.12,0.82,0.82
377,0,4.01,4.93,0.82,4.12,0.82,0.82
378,0,4.01,4.93,0.82,4.12,0.82,0.82
379,0,4.01,4.93,0.82,4.12,0.82,0.82
380,0,4.01,4.93,0.82,4.12,0.82,0.82
381,0,4.01,4.93,0.82,4.12,0.82,0.82
382,0,4.01,4.93,0.82,4.12,0.82,0.82
383,0,4.01,4.93,0.82,4.12,0.82,0.82
384,0,4.01,4.93,0.82,4.12,0.82,0.82
385,0,4.01,4.93,0.82,4.12,0.82,0.82
386,0,4.01,4.93,0.82,4.12,0.82,0.82
387,0,4.01,4.93,0.82,4.12,0.82,0.82
388,0,4.01,4.93,0.82,4.12,0.82,0.82
389,0,4.01,4.93,0.82,4.12,0.82,0.82
390,0,4.01,4.93,0.82,4.12,0.82,0.82
391,0,4.01,4.93,0.82,4.12,0.82,0.82
392,0,4.01,4.93,0.82,4.12,0.82,0.82
393,0,4.01,4.93,0.82,4.12,0.82,0.82
394,0,4.01,4.93,0.82,4.12,0.82,0.82
395,0,4.01,4.93,0.82,4.12,0.82,0.82
396,0,4.01,4.93,0.82,4.12,0.82,0.82
397,0,4.01,4.93,0.82,4.12,0.82,0.82
398,0,4.01,4.93,0.82,4.12,0.82,0.82
399,0,4.01,4.93,0.82,4.12,0.82,0.82
400,0,4.01,4.93,0.82,4.12,0.82,0.82
401,0,4.01,4.93,0.82,4.12,0.82,0.82
402,0,4.01,4.93,0.82,4.12,0.82,0.82
403,0,4.01,4.93,0.82,4.12,0.82,0.82
404,0,4.01,4.93,0.82,4.12,0.82,0.82
405,0,4.01,4.93,0.82,4.12,0.82,0.82
406,0,4.01,4.93,0.82,4.12,0.82,0.82
407,0,4.01,4.93,0.82,4.12,0.82,0.82
408,0,4.01,4.93,0.82,4.12,0.82,0.82
409,0,4.01,4.93,0.82,4.12,0.82,0.82
410,0,4.01,4.93,0.82,4.12,0.82,0.82
411,0,4.01,4.93,0.82,4.12,0.82,0.82
412,0,4.01,4.93,0.82,4.12,0.82,0.82
413,0,4.01,4.93,0.82,4.12,0.82,0.82
414,0,4.01,4.93,0.82,4.12,0.82,0.82
415,0,4.01,4.93,0.82,4.12,0.82,0.82
416,0,4.01,4.93,0.82,4.12,0.82,0.82
417,0,4.01,4.93,0.82,4.12,0.82,0.82
418,0,4.01,4.93,0.82,4.12,0.82,0.82
419,0,4.01,4.93,0.82,4.12,0.82,0.82
420,0,4.01,4.93,0.82,4.12,0.82,0.82
421,0,4.01,4.93,0.82,4.12,0.82,0.82
422,0,4.01,4.93,0.82,4.12,0.82,0.82
423,0,4.01,4.93,0.82,4.12,0.82,0.82
424,0,4.01,4.93,0.82,4.12,0.82,0.82
425,0,4.01,4.93,0.82,4.12,0.82,0.82
426,0,4.01,4.93,0.82,4.12,0.82,0.82
427,0,4.01,4.93,0.82,4.12,0.82,0.82
428,0,4.01,4.93,0.82,4.12,0.82,0.82
429,0,4.01,4.93,0.82,4.12,0.82,0.82
430,0,4.01,4.93,0.82,4.12,0.82,0.82
431,0,4.01,4.93,0.82,4.12,0.82,0.82
432,0,4.01,4.93,0.82,4.12,0.82,0.82
433,0,4.01,4.93,0.82,4.12,0.82,0.82
434,0,4.01,4.93,0.82,4.12,0.82,0.82
435,0,4.01,4.93,0.82,4.12,0.82,0.82
436,0,4.01,4.93,0.82,4.12,0.82,0.82
437,0,4.01,4.93,0.82,4.12,0.82,0.82
438,0,4.01,4.93,0.82,4.12,0.82,0.82
439,0,4.01,4.93,0.82,4.12,0.82,0.82
440,0,4.01,4.93,0.82,4.12,0.82,0.82
441,0,4.01,4.93,0.82,4.12,0.82,0.82
442,0,4.01,4.93,0.82,4.12,0.82,0.82
443,0,4.01,4.93,0.82,4.12,0.82,0.82
444,0,4.01,4.93,0.82,4.12,0.82,0.82
445,0,4.01,4.93,0.82,4.12,0.82,0.82
