Time_Index,lignite,coal,ng,ngccus90,oil,biomass,uranium,None,ng_dac_solvent,ng_dac_sorbent
172,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
173,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
174,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
175,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
176,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
177,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
178,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
179,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
180,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
181,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
182,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
183,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
184,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
185,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
186,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
187,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
188,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
189,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
190,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
191,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
192,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
193,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
194,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
195,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
196,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
197,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
198,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
199,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
200,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
201,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
202,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
203,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
204,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
205,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
206,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
207,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
208,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
209,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
210,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
211,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
212,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
213,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
