Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-803327.6811760546,-794173.7718987716,-818256.0139568376
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-707284.9325077395,-688552.8112587567,-724332.596702438
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-454790.3155758894,-426587.9579221159,-507850.7862284291
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140997.43788736625,-132997.69312859836,-204051.9916367673
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34539.39357113446,-33647.607331774285,-36384.1063854749
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24677.08350090697,-25148.146222383995,-26993.68514318989
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22218.083197660737,-22334.382946795613,-23660.459434957847
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21794.237652957956,-20804.15847305196,-22034.112285744006
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21451.073757787606,-20327.990016684867,-21569.0220027703
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21635.39491438228,-21221.269313214147,-22092.33923423305
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21048.42834669528,-21205.481386004074,-21663.029801327477
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21134.333539656367,-21392.534329483497,-21840.71265566475
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21230.55997437114,-21498.023232945266,-21973.749519748904
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21509.18242790374,-21537.257052453373,-22125.906778821278
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22038.522584569495,-21668.913501251634,-22326.253285232633
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21568.702449086857,-21048.01005031343,-21432.67674363771
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21683.1450234637,-21333.809682705563,-21429.67472210097
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21573.5429935624,-21611.042894002494,-21762.551189639114
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21578.82550478638,-21693.74523971376,-21886.661882546003
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21660.431967798275,-21809.95951791523,-21971.23094662576
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21073.43584534077,-21194.45830815788,-21322.640257441864
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21274.022401026108,-21362.11766981429,-21478.855070469835
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21391.045211872755,-21472.74992699421,-21545.474316908858
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21381.09340003462,-21513.733929747617,-21793.85222973023
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21513.715500581024,-21636.974844500335,-22098.003895964943
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21005.35016908984,-21038.31698771167,-21273.993369938413
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21172.54398826934,-21122.158925930533,-21429.13671205484
